 Transaction  No  , Vendor ,Category,Amount
8001785101,DILIGENT CARE SERVICES LTD,Social care,£840
1900801961,REDACTED PERSONAL DATA,People and Recruitment,£840
1900801321,REDACTED PERSONAL DATA,People and Recruitment,£840
8001792451,SEVACARE (UK) LTD,Social care,£840
8001792684,SEVACARE (UK) LTD,Social care,£837
8001766767,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£837
8001771475,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man",£837
8001766811,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£837
8001771384,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man",£837
8001766848,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£837
8001766770,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£837
8001766809,ESTATE141 LIMITED,"Construction, Property and Fac Man",£837
8001766865,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£837
8001766845,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£837
8001780961,EXTRA MILE CARE COMPANY,Social care,£835
8001777341,ONE HOUSING GROUP LTD,Social care,£835
5201137210,REDACTED PERSONAL DATA,Sport and Leisure,£835
1900801662,REDACTED PERSONAL DATA,Temporary Accommodation,£834
5201136257,REDACTED PERSONAL DATA,Sport and Leisure,£832
8001771543,LOUISIANNA PROPERTIES LTD,Temporary Accommodation,£832
1900801197,RINGWAY JACOBS LIMITED,Public Realm,£831
8001802177,CAMDEN LODGE,Social care,£829
1900800700,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man",£828
8001783561,ARGOS BUSINESS SOLUTIONS LTD,Children and Education,£825
8001792535,SEVACARE (UK) LTD,Social care,£822
8001771081,SOMEWHERE HOUSE LTD,Social care,£822
5201136178,MOTHERCARE UK LIMITED,General,£822
5201137455,ALPHAPRINT (COLCHESTER) LIMITED,Communication,£821
5201137241,HUDSON GLOBAL RESOURCES LTD,People and Recruitment,£820
8001777421,ONE HOUSING GROUP LTD,Social care,£820
8001798669,BROOKLAND HOMES LTD,Temporary Accommodation,£820
8001798579,REDACTED PERSONAL DATA,Social care,£819
1900801904,CDI DOCUMENT MANAGEMENT LTD,General,£819
8001773521,CIRCLE OF CARE SERVICE LTD,Social care,£819
8001772681,CIRCLE OF CARE SERVICE LTD,Social care,£819
8001780681,EXTRA MILE CARE COMPANY,Social care,£817
8001766839,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£817
8001770215,SEVACARE (UK) LTD,Social care,£817
8001792429,SEVACARE (UK) LTD,Social care,£817
8001792724,SEVACARE (UK) LTD,Social care,£814
8001766941,BIKUR CHOLIM LTD,Social care,£814
5201137713,CROWN PROMOTIONS & REMOVALS LTD,General,£812
8001779202,BIKUR CHOLIM LTD,Social care,£812
8001769861,BIKUR CHOLIM LTD,Social care,£812
8001769901,BIKUR CHOLIM LTD,Social care,£812
8001782521,EXTRA MILE CARE COMPANY,Social care,£811
1900801122,REDACTED PERSONAL DATA,Communication,£811
1900801104,JDK MEDICAL CONSULTING LTD,General,£810
8001774401,OASIS CARE & TRAINING AGENCY,Social care,£810
1900802012,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,£810
1900801699,ORANGE PCS LTD,IT and Telecoms,£808
5201137054,NURSING HYGIENE GROUP,General,£807
8001766794,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£807
8001782896,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£806
1900801112,REDACTED PERSONAL DATA,Communication,£805
8001794478,LOOK AHEAD CARE AND SUPPORT LTD,Social care,£805
8001794477,LOOK AHEAD CARE AND SUPPORT LTD,Social care,£805
8001794463,LOOK AHEAD CARE AND SUPPORT LTD,Social care,£805
8001792513,SEVACARE (UK) LTD,Social care,£804
8001768901,HAIL LTD,Social care,£804
8001768861,HAIL LTD,Social care,£804
8001768721,HAIL LTD,Social care,£804
8001768041,HAIL LTD,Social care,£804
8001768541,HAIL LTD,Social care,£804
8001768881,HAIL LTD,Social care,£804
8001767703,HAIL LTD,Social care,£804
8001768001,HAIL LTD,Social care,£804
8001768681,HAIL LTD,Social care,£804
8001768801,HAIL LTD,Social care,£804
8001774381,INDIVIDUALISED CARE LTD,Social care,£803
5201137467,THEBIGWORD INTERPRETING SERVICES LI,Communication,£802
1900801289,POWERLEAGUE FIVES LTD,Children and Education,£800
1900801587,NORTHUMBERLAND PARK HOUSE,Temporary Accommodation,£800
8001774201,REMARK! LTD,Social care,£800
5201137246,FUCHSIA BLUE LIMITED,Learning and Development,£800
8001767921,HAIL LTD,Social care,£800
5201135844,LEANING UNLIMITED LTD,Learning and Development,£800
5201138213,REDACTED PERSONAL DATA,Sport and Leisure,£798
8001766860,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£797
8001797907,REDACTED PERSONAL DATA,Social care,£797
8001766831,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£797
8001783581,ARGOS BUSINESS SOLUTIONS LTD,Children and Education,£797
8001792495,SEVACARE (UK) LTD,Social care,£797
8001770213,SEVACARE (UK) LTD,Social care,£796
8001792651,SEVACARE (UK) LTD,Social care,£796
8001763061,CENTRE 404,Social care,£796
8001770233,SEVACARE (UK) LTD,Social care,£796
8001792671,SEVACARE (UK) LTD,Social care,£796
200343844,EMBRACE UK COMMUNITY SUPPORT CENTRE,Social care,£794
5201136234,REDACTED PERSONAL DATA,Sport and Leisure,£794
1900801018,E.ON,Energy and Utilities,£792
5201136610,THAMES WATER UTILITIES LTD,Energy and Utilities,£791
8001774441,BAAF REGISTERED CHARITY,Communication,£788
8001792690,SEVACARE (UK) LTD,Social care,£786
8001792601,SEVACARE (UK) LTD,Social care,£786
8001769976,SEVACARE (UK) LTD,Social care,£786
8001770152,SEVACARE (UK) LTD,Social care,£786
8001792590,SEVACARE (UK) LTD,Social care,£786
8001792415,SEVACARE (UK) LTD,Social care,£786
8001792456,SEVACARE (UK) LTD,Social care,£786
8001770162,SEVACARE (UK) LTD,Social care,£786
8001792424,SEVACARE (UK) LTD,Social care,£786
8001770022,SEVACARE (UK) LTD,Social care,£786
8001792461,SEVACARE (UK) LTD,Social care,£786
8001769985,SEVACARE (UK) LTD,Social care,£786
5201136233,REDACTED PERSONAL DATA,Sport and Leisure,£785
8001789261,HAIL LTD,Social care,£784
8001769992,SEVACARE (UK) LTD,Social care,£783
8001770011,SEVACARE (UK) LTD,Social care,£781
8001786781,DILIGENT CARE SERVICES LTD,Social care,£780
8001769241,OURRIS RESIDENTIAL HOMES LTD,Social care,£780
8001772861,CIRCLE OF CARE SERVICE LTD,Social care,£780
8001798129,REDACTED PERSONAL DATA,Social care,£779
8001779141,BIKUR CHOLIM LTD,Social care,£778
5201136392,REDACTED PERSONAL DATA,Sport and Leisure,£777
5201136094,REDACTED PERSONAL DATA,Sport and Leisure,£777
5201135818,ILSE AMLOT CENTRE FOR WOMEN & CHILD,Children and Education,£777
8001778982,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£776
8001766779,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man",£775
8001782901,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£775
8001782897,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£775
8001766798,ST ANDREWS COMMUNITY HOUSING ASSN L,"Construction, Property and Fac Man",£775
8001766776,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man",£775
5201137956,MAC CONTAINER COMPANY LTD,"Construction, Property and Fac Man",£775
8001782898,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man",£775
8001766817,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man",£775
8001766847,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man",£775
5201137949,MAC CONTAINER COMPANY LTD,"Construction, Property and Fac Man",£775
5201136239,REDACTED PERSONAL DATA,Sport and Leisure,£775
8001766854,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man",£775
8001767861,HAIL LTD,Social care,£775
8001766821,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man",£775
8001766813,ST ANDREWS COMMUNITY HOUSING ASSN L,"Construction, Property and Fac Man",£775
1900801290,ROYAL MAIL GROUP PLC,Children and Education,£775
1900801997,SECURIFIX - SECURITY SYSTEMS LTD,"Construction, Property and Fac Man",£773
8001780381,EXTRA MILE CARE COMPANY,Social care,£772
8001770253,SEVACARE (UK) LTD,Social care,£771
5201135874,TNT POST LONDON LTD,General,£770
8001782382,HAIL LTD,Social care,£770
8001780641,EXTRA MILE CARE COMPANY,Social care,£769
8001772881,CIRCLE OF CARE SERVICE LTD,Social care,£768
8001781741,EXTRA MILE CARE COMPANY,Social care,£766
8001766830,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man",£766
8001766781,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man",£766
8001797221,PREMIER CAREWAITING LTD,Social care,£766
1900801034,REDACTED PERSONAL DATA,Communication,£766
5201138328,REDACTED PERSONAL DATA,Sport and Leisure,£766
5201137058,NURSING HYGIENE GROUP,General,£766
1900801984,SERVEST (COMMERICAL & PUBLIC SECTOR,General,£765
1900801496,URBAN LAND MANAGEMENT LTD,Children and Education,£764
1900801499,URBAN LAND MANAGEMENT LTD,Children and Education,£764
5201136065,ATG ACCESS,"Construction, Property and Fac Man",£764
8001782822,SATELLITE CONSORTIUM LIMITED,Social care,£764
8001792660,SEVACARE (UK) LTD,Social care,£763
5201136848,NEWMAN'S THE CATERERS LIMITED,Food and Drink,£763
1900801187,EDF ENERGY CUSTOMERS PLC,Energy and Utilities,£763
8001790341,CORE OUTREACH & CARE SERVICES UK LT,Social care,£759
8001778741,BIKUR CHOLIM LTD,Social care,£758
1900801653,COLLEGE OF HAR'GY ENF'LD & NE LONDO,General,£757
1900800666,NEXT PROPERTY LONDON LTD,Temporary Accommodation,£757
8001798357,THE FER VIEW,Temporary Accommodation,£756
8001771378,WEST LODGE LIMITED,Temporary Accommodation,£756
5201136847,NEWMAN'S THE CATERERS LIMITED,Food and Drink,£756
5201136199,MISCO,IT and Telecoms,£755
8001797261,PREMIER CAREWAITING LTD,Social care,£750
5201137950,MAC CONTAINER COMPANY LTD,"Construction, Property and Fac Man",£750
1900801948,REDACTED PERSONAL DATA,Legal,£750
1900801192,DEVELOPMENT & LEARNING OPPORTUNITIE,General,£750
5201136248,REDACTED PERSONAL DATA,Legal,£750
8001780061,EXTRA MILE CARE COMPANY,Social care,£748
8001775641,PRIORY GROUP LIMITED,Transport & Travel,£748
8001770183,SEVACARE (UK) LTD,Social care,£745
8001792622,SEVACARE (UK) LTD,Social care,£745
8001782421,EXTRA MILE CARE COMPANY,Social care,£745
5201135823,PEARSON EDUCATION LIMITED,General,£745
8001770064,SEVACARE (UK) LTD,Social care,£745
5201136980,COLLEGE OF HAR'GY ENF'LD & NE LONDO,Learning and Development,£745
5201138066,COLLEGE OF HAR'GY ENF'LD & NE LONDO,Learning and Development,£745
8001787861,RENAISSANCE PERSONNEL LIMITED,Social care,£744
1900800894,REDACTED PERSONAL DATA,People and Recruitment,£744
5201137359,REDACTED PERSONAL DATA,Sport and Leisure,£744
5201138112,RIGBY TAYLOR LTD,Public Realm,£743
8001777621,ONE HOUSING GROUP LTD,Social care,£742
8001770222,SEVACARE (UK) LTD,Social care,£741
5201136642,ARCADIAN GARDENS SURGERY,Public Health,£740
8001784981,SATELLITE CONSORTIUM LIMITED,Social care,£740
1900801498,URBAN LAND MANAGEMENT LTD,Children and Education,£740
8001786941,DILIGENT CARE SERVICES LTD,Social care,£737
1900801401,CORONA ENERGY RETAIL 4 LIMITED,Energy and Utilities,£737
8001779621,DILIGENT CARE SERVICES LTD,Social care,£733
8001785161,SATELLITE CONSORTIUM LIMITED,Social care,£732
5201136849,NEWMAN'S THE CATERERS LIMITED,Food and Drink,£732
5201135808,XEROX FINANCE LTD,IT and Telecoms,£729
5201135647,ELEGANCE FURNITURE SUPPLIES LTD,General,£729
5201135802,XEROX FINANCE LTD,IT and Telecoms,£729
5201135807,XEROX FINANCE LTD,IT and Telecoms,£729
1900801879,BROWNE JACOBSON LLP,Finance,£728
5201137905,REDACTED PERSONAL DATA,Sport and Leisure,£727
1900801436,CAPITA EDUCATION RESOURCING,People and Recruitment,£727
5201137326,BERTRAM TRADING LTD,Communication,£726
8001773401,CIRCLE OF CARE SERVICE LTD,Social care,£726
8001782721,SATELLITE CONSORTIUM LIMITED,Social care,£725
8001770056,SEVACARE (UK) LTD,Social care,£725
8001770246,SEVACARE (UK) LTD,Social care,£725
8001792683,SEVACARE (UK) LTD,Social care,£725
5201136119,XEROX FINANCE LTD,IT and Telecoms,£724
1900800992,SECURE DATA MANAGEMENT LTD,General,£722
8001769990,SEVACARE (UK) LTD,Social care,£722
8001785981,DILIGENT CARE SERVICES LTD,Social care,£722
8001769761,EXTRA MILE CARE COMPANY,Social care,£722
5201136854,GORKANA GROUP LIMITED,Learning and Development,£721
1900801139,REDACTED PERSONAL DATA,General,£721
8001782481,EXTRA MILE CARE COMPANY,Social care,£721
5201136733,IMAGESTORE LIMITED,IT and Telecoms,£720
8001785322,DILIGENT CARE SERVICES LTD,Social care,£720
8001792642,SEVACARE (UK) LTD,Social care,£720
5201137873,VISION TECHNICIANS,General,£720
8001770034,SEVACARE (UK) LTD,Social care,£720
8001792472,SEVACARE (UK) LTD,Social care,£720
5201137353,REDACTED PERSONAL DATA,Sport and Leisure,£719
5201137072,ESSEX FLOUR & GRAIN CO. LTD,Food and Drink,£717
5201136237,REDACTED PERSONAL DATA,Sport and Leisure,£716
8001770284,SEVACARE (UK) LTD,Social care,£715
8001770205,SEVACARE (UK) LTD,Social care,£715
8001792644,SEVACARE (UK) LTD,Social care,£715
8001792531,SEVACARE (UK) LTD,Social care,£715
8001792723,SEVACARE (UK) LTD,Social care,£715
8001769971,SEVACARE (UK) LTD,Social care,£715
8001792489,SEVACARE (UK) LTD,Social care,£715
8001792541,SEVACARE (UK) LTD,Social care,£715
8001770271,SEVACARE (UK) LTD,Social care,£715
8001792468,SEVACARE (UK) LTD,Social care,£715
8001792710,SEVACARE (UK) LTD,Social care,£715
8001770114,SEVACARE (UK) LTD,Social care,£715
8001792732,SEVACARE (UK) LTD,Social care,£715
8001792410,SEVACARE (UK) LTD,Social care,£715
8001792493,SEVACARE (UK) LTD,Social care,£715
8001770293,SEVACARE (UK) LTD,Social care,£715
8001792476,SEVACARE (UK) LTD,Social care,£715
8001792448,SEVACARE (UK) LTD,Social care,£715
8001770050,SEVACARE (UK) LTD,Social care,£715
8001770234,SEVACARE (UK) LTD,Social care,£715
8001792584,SEVACARE (UK) LTD,Social care,£715
8001770038,SEVACARE (UK) LTD,Social care,£715
8001770103,SEVACARE (UK) LTD,Social care,£715
8001770008,SEVACARE (UK) LTD,Social care,£715
8001792555,SEVACARE (UK) LTD,Social care,£715
8001792540,SEVACARE (UK) LTD,Social care,£715
8001792552,SEVACARE (UK) LTD,Social care,£715
8001792534,SEVACARE (UK) LTD,Social care,£715
8001770279,SEVACARE (UK) LTD,Social care,£715
8001792741,SEVACARE (UK) LTD,Social care,£715
8001792625,SEVACARE (UK) LTD,Social care,£715
8001792578,SEVACARE (UK) LTD,Social care,£715
8001792718,SEVACARE (UK) LTD,Social care,£715
8001770140,SEVACARE (UK) LTD,Social care,£715
8001770094,SEVACARE (UK) LTD,Social care,£715
5201138222,REDACTED PERSONAL DATA,Sport and Leisure,£713
8001773041,CIRCLE OF CARE SERVICE LTD,Social care,£713
8001776721,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£713
8001766441,ONE HOUSING GROUP LTD,Social care,£713
8001766461,ONE HOUSING GROUP LTD,Social care,£713
8001766443,ONE HOUSING GROUP LTD,Social care,£713
8001766448,ONE HOUSING GROUP LTD,Social care,£713
8001766455,ONE HOUSING GROUP LTD,Social care,£713
8001766444,ONE HOUSING GROUP LTD,Social care,£713
8001766464,ONE HOUSING GROUP LTD,Social care,£713
8001766457,ONE HOUSING GROUP LTD,Social care,£713
8001766450,ONE HOUSING GROUP LTD,Social care,£713
8001766451,ONE HOUSING GROUP LTD,Social care,£713
8001766463,ONE HOUSING GROUP LTD,Social care,£713
8001766452,ONE HOUSING GROUP LTD,Social care,£713
8001766496,ONE HOUSING GROUP LTD,Social care,£713
8001766458,ONE HOUSING GROUP LTD,Social care,£713
8001766445,ONE HOUSING GROUP LTD,Social care,£713
8001766485,ONE HOUSING GROUP LTD,Social care,£713
8001766456,ONE HOUSING GROUP LTD,Social care,£713
8001766453,ONE HOUSING GROUP LTD,Social care,£713
8001766446,ONE HOUSING GROUP LTD,Social care,£713
8001766460,ONE HOUSING GROUP LTD,Social care,£713
8001766447,ONE HOUSING GROUP LTD,Social care,£713
8001766449,ONE HOUSING GROUP LTD,Social care,£713
8001766442,ONE HOUSING GROUP LTD,Social care,£713
8001766488,ONE HOUSING GROUP LTD,Social care,£713
8001766483,ONE HOUSING GROUP LTD,Social care,£713
8001766454,ONE HOUSING GROUP LTD,Social care,£713
8001766459,ONE HOUSING GROUP LTD,Social care,£713
8001766490,ONE HOUSING GROUP LTD,Social care,£713
8001766494,ONE HOUSING GROUP LTD,Social care,£713
8001766493,ONE HOUSING GROUP LTD,Social care,£713
8001766486,ONE HOUSING GROUP LTD,Social care,£713
8001766487,ONE HOUSING GROUP LTD,Social care,£713
8001766462,ONE HOUSING GROUP LTD,Social care,£713
8001773810,PREMIER CAREWAITING LTD,Social care,£713
5201135984,RECA-UK LTD,Public Realm,£712
5201137055,NURSING HYGIENE GROUP,General,£712
8001777521,ONE HOUSING GROUP LTD,Social care,£711
8001740861,FINEFAIR LTD,"Construction, Property and Fac Man",£711
8001761981,GREEK+GREEK CYPRIOT COMM OF ENFIELD,Social care,£711
5201135799,XEROX FINANCE LTD,IT and Telecoms,£710
5201138246,EDENVALE CARE LIMITED,Social care,£710
5201138272,EDENVALE CARE LIMITED,Social care,£710
5201138247,EDENVALE CARE LIMITED,Social care,£710
5201138245,EDENVALE CARE LIMITED,Social care,£710
8001792554,SEVACARE (UK) LTD,Social care,£710
1900801196,EDF ENERGY CUSTOMERS PLC,Energy and Utilities,£709
8001766843,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man",£709
8001792734,SEVACARE (UK) LTD,Social care,£707
8001770030,SEVACARE (UK) LTD,Social care,£707
8001778781,BIKUR CHOLIM LTD,Social care,£707
8001768701,HAIL LTD,Social care,£706
1900801403,CORONA ENERGY RETAIL 4 LIMITED,Energy and Utilities,£705
1900801190,EDF ENERGY CUSTOMERS PLC,Energy and Utilities,£705
8001770149,SEVACARE (UK) LTD,Social care,£705
8001771554,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£704
1900802133,LPFA RESIDUAL LIABILITIES,Finance,£703
5201136113,XEROX FINANCE LTD,IT and Telecoms,£702
5201136109,XEROX FINANCE LTD,IT and Telecoms,£702
8001770186,SEVACARE (UK) LTD,Social care,£702
1900800865,TRUST EDUCATION LIMITED,People and Recruitment,£701
1900801194,EDF ENERGY CUSTOMERS PLC,Energy and Utilities,£700
8001770142,SEVACARE (UK) LTD,Social care,£699
8001780561,THE PROVIDENCE PROJECTS REHAB GROUP,Social care,£699
8001770061,SEVACARE (UK) LTD,Social care,£699
8001792501,SEVACARE (UK) LTD,Social care,£699
1900801611,THE PLACEMENT GROUP (UK) LTD,People and Recruitment,£698
8001770285,SEVACARE (UK) LTD,Social care,£698
8001789281,HAIL LTD,Social care,£696
8001769401,EXTRA MILE CARE COMPANY,Social care,£696
8001792553,SEVACARE (UK) LTD,Social care,£694
8001770115,SEVACARE (UK) LTD,Social care,£694
8001792402,SEVACARE (UK) LTD,Social care,£694
8001769962,SEVACARE (UK) LTD,Social care,£694
1900801900,PARK VIEW,Finance,£694
5201136131,FRONTLINE STAFFING LTD,People and Recruitment,£693
1900801684,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man",£692
8001782945,SATELLITE CONSORTIUM LIMITED,Social care,£692
8001792580,SEVACARE (UK) LTD,Social care,£692
5201137702,MYERS (IDEAL SUPPLIES) LTD,General,£691
8001789461,HAIL LTD,Social care,£690
8001770091,SEVACARE (UK) LTD,Social care,£689
8001770006,SEVACARE (UK) LTD,Social care,£689
8001792446,SEVACARE (UK) LTD,Social care,£689
8001792634,SEVACARE (UK) LTD,Social care,£689
5201136375,BERTRAM TRADING LTD,Communication,£688
1900800954,NPS LONDON LTD,"Construction, Property and Fac Man",£687
8001789581,HAIL LTD,Social care,£687
5201136075,CGI IT UK LIMITED,IT and Telecoms,£687
8001781861,EXTRA MILE CARE COMPANY,Social care,£685
8001782321,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001770461,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001782361,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001782381,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001782401,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001782301,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001782201,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£685
8001792701,SEVACARE (UK) LTD,Social care,£684
8001782701,SATELLITE CONSORTIUM LIMITED,Social care,£684
5201136977,BUNZL UK LTD t/a GREENHAM,General,£682
5201137658,REDACTED PERSONAL DATA,Sport and Leisure,£682
8001771381,WEST LODGE LIMITED,"Construction, Property and Fac Man",£682
1900801932,REDACTED PERSONAL DATA,General,£682
8001792587,SEVACARE (UK) LTD,Social care,£682
8001792705,SEVACARE (UK) LTD,Social care,£681
5201137922,HUDSON GLOBAL RESOURCES LTD,People and Recruitment,£681
8001767041,HEADWAY EAST LONDON,Social care,£680
8001767202,HEADWAY EAST LONDON,Social care,£680
8001767421,HEADWAY EAST LONDON,Social care,£680
8001767341,HEADWAY EAST LONDON,Social care,£680
8001776001,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£679
8001776201,CAMPHILL MILTON KEYNES COMMUNTIES,"Construction, Property and Fac Man",£678
8001774541,CAMPHILL MILTON KEYNES COMMUNTIES,Social care,£678
8001775981,DILIGENT CARE SERVICES LTD,Social care,£676
8001775961,DILIGENT CARE SERVICES LTD,Social care,£676
1900801404,CORONA ENERGY RETAIL 4 LIMITED,Energy and Utilities,£676
5201137904,MYERS (IDEAL SUPPLIES) LTD,General,£676
8001780981,CYPRIOT ELDERLY & DISABLED GROUP,Social care,£675
8001802185,ASTON GRANGE LTD,Social care,£675
8001767641,HAIL LTD,Social care,£675
1900802149,CYPRIOT ELDERLY & DISABLED GROUP,General,£675
8001781555,FINEFAIR LTD,"Construction, Property and Fac Man",£674
5201136256,BRITANNIA FIRE & SECURITY LTD,"Construction, Property and Fac Man",£674
1900801656,OMEGA LETTINGS LTD,Temporary Accommodation,£674
8001770227,SEVACARE (UK) LTD,Social care,£674
8001792665,SEVACARE (UK) LTD,Social care,£674
8001766851,METROPOLITAN HOUSING TRUST LTD,"Construction, Property and Fac Man",£674
8001787741,METROPOLITAN HOUSING TRUST LTD,"Construction, Property and Fac Man",£674
8001792556,SEVACARE (UK) LTD,Social care,£673
8001798598,REDACTED PERSONAL DATA,Social care,£673
5201137913,TNT POST LONDON LTD,General,£672
8001778121,ADOPTION UK,Communication,£670
8001778141,ADOPTION UK,Communication,£670
1900801678,TURKISH CYPRIOT COMMUNITY ASSN.,General,£670
8001798867,WATERFALL HOUSE LTD,Temporary Accommodation,£670
5201136069,RINGWAY JACOBS LIMITED,Public Realm,£670
1900801792,ROYAL MAIL GROUP PLC,General,£669
8001770661,OASIS CARE & TRAINING AGENCY,Social care,£666
8001773361,CIRCLE OF CARE SERVICE LTD,Social care,£666
8001773061,CIRCLE OF CARE SERVICE LTD,Social care,£666
1900801118,REDACTED PERSONAL DATA,Communication,£665
8001777641,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£665
8001777141,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£665
8001770146,SEVACARE (UK) LTD,Social care,£664
8001770054,SEVACARE (UK) LTD,Social care,£664
8001797501,CENTRE 404,Social care,£664
8001770303,SEVACARE (UK) LTD,Social care,£664
1900801402,CORONA ENERGY RETAIL 4 LIMITED,Energy and Utilities,£663
5201136378,BERTRAM TRADING LTD,Communication,£663
8001797623,FOUR SEASONS 2000 LIMITED,Social care,£663
1900801400,CORONA ENERGY RETAIL 4 LIMITED,Energy and Utilities,£663
8001779201,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£662
1900802486,KORI,Learning and Development,£661
5201137906,CROWN PROMOTIONS & REMOVALS LTD,General,£661
5201137219,REDACTED PERSONAL DATA,Sport and Leisure,£661
8001770521,ADVANTAGE HEALTHCARE GROUP LIMITED,Social care,£661
5201137209,REDACTED PERSONAL DATA,Sport and Leisure,£660
8001788641,CHRISTIES CARE LTD,Social care,£660
8001786981,DILIGENT CARE SERVICES LTD,Social care,£660
8001766790,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766789,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766806,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766807,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man",£660
8001766796,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man",£660
8001766882,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766797,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766780,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man",£660
8001766801,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766803,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man",£660
8001766827,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man",£659
8001779401,EXTRA MILE CARE COMPANY,Social care,£658
5201136664,KEMICO LIMITED,General,£657
5201135911,REDACTED PERSONAL DATA,Sport and Leisure,£656
8001779181,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,£656
5201136070,MIDLAND FORESTRY LTD,Public Realm,£656
5201138100,TNT POST LONDON LTD,General,£655
8001772841,CIRCLE OF CARE SERVICE LTD,Social care,£654
8001770302,SEVACARE (UK) LTD,Social care,£653
5201136232,REDACTED PERSONAL DATA,Sport and Leisure,£653
5201137249,MHMTS TRAINING LTD,Learning and Development,£650
1900801671,DRAPER ELECTRICAL LTD,"Construction, Property and Fac Man",£650
5201137248,JANET LEE TRAINING & CONSULTANCY LI,Learning and Development,£650
5201137247,JANET LEE TRAINING & CONSULTANCY LI,Learning and Development,£650
8001776861,ONE HOUSING GROUP LTD,Social care,£649
8001780161,BIKUR CHOLIM LTD,Social care,£649
8001792692,SEVACARE (UK) LTD,Social care,£648
8001770255,SEVACARE (UK) LTD,Social care,£648
8001803640,BUPA CARE HOMES (ANS) LTD,General,£647
8001781661,EXTRA MILE CARE COMPANY,Social care,£646
1900801179,REDACTED PERSONAL DATA,Communication,£646
5201138210,CHARLTON HOUSE MEDICAL CENTRE,Public Health,£646
8001788961,HAIL LTD,Social care,£645
5201136096,REDACTED PERSONAL DATA,Sport and Leisure,£645
8001781021,CYPRIOT ELDERLY & DISABLED GROUP,Social care,£644
8001772261,CIRCLE OF CARE SERVICE LTD,Social care,£644
8001671802,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,£644
8001805033,ONE HOUSING GROUP LTD,Social care,£644
8001805041,ONE HOUSING GROUP LTD,Social care,£644
8001805037,ONE HOUSING GROUP LTD,Social care,£644
